vm_id,timestamp,cpu_usage,memory_usage,network_traffic,power_consumption,num_executed_instructions,execution_time,energy_efficiency,task_type,task_priority,task_status
c5215826-6237-4a33-9312-72c1df909881,25-01-2023 09:10,54.88135039,78.95086102,164.7759727,287.8089861,7527,69.34557502,0.553589014,network,medium,waiting
29690bc6-1f34-403b-b509-a1ecb1834fb8,26-01-2023 04:46,71.51893664,29.90188259,,362.2735688,5348,41.39603965,0.349856212,io,high,completed
2e55abc3-5bad-46cb-b445-a577f5e9bf2a,13-01-2023 23:39,,92.70919512,203.6748471,231.4679027,5483,24.60254888,0.796276974,io,medium,completed
e672e32f-c134-4fbc-992b-34eb63bef6bf,09-02-2023 11:45,54.4883183,88.10095963,,195.6399538,5876,16.45666986,0.529510782,compute,high,completed
f38b8b50-6926-4533-be4f-89ad11624071,14-06-2023 08:27,42.36547993,,,359.451537,3361,55.30799162,0.351907264,,medium,waiting
ad14d5d1-4e96-48ca-9893-1baaa47e4cab,06-02-2023 16:44,64.58941131,62.00801573,580.5698365,115.9316105,4766,63.13767144,,io,low,completed
5651505d-14a2-41d6-989b-eec0aac9b922,15-06-2023 18:04,43.75872113,22.45642925,429.1396396,272.9604167,9008,60.15390382,0.461246388,compute,high,completed
e5970e5c-0350-4131-bd6c-4bd7e2c98df1,,,85.43815472,685.2828128,,,14.19135553,0.242538428,network,high,running
7fc95f4c-f561-4dd5-8465-aec2b388bd5b,20-05-2023 19:09,96.36627605,4.388441255,902.8277169,367.9790559,9984,21.87669373,,io,medium,running
7fd9a664-1da8-4ae9-8a04-3c341d32d35c,10-07-2023 11:32,38.34415188,16.44188144,779.7913446,382.7566963,2989,42.16084672,0.139187233,io,medium,running
ea8455b0-251c-4470-b7ea-8d40476e3434,14-01-2023 19:59,79.17250381,2.972252292,926.3740297,173.5593254,8644,55.70267258,0.779498827,compute,medium,completed
eb9c26c6-d99f-40a4-8640-7631ad451034,,,20.07657809,941.0693854,435.0137737,5185,66.37989278,0.700144664,,medium,completed
0ddae1eb-86c9-4448-b1b8-e7be96875ad8,11-04-2023 22:45,56.80445611,2.355626169,722.552146,143.3403992,9788,79.70075631,0.944387475,io,medium,waiting
196e5fec-ae85-4b5c-a2ca-7f34cdfd00b6,20-04-2023 06:07,92.55966383,,34.3785391,433.958848,886,54.13118611,0.204644266,network,,waiting
bb9d0b5b-c787-4138-ac46-4e250c802e75,22-04-2023 16:00,7.10360582,96.51663852,919.1721699,275.6299116,9117,39.96762536,0.854724947,io,low,running
194210b1-4e68-4019-a292-5d07111e7354,07-03-2023 01:40,,44.40411245,664.6856505,245.0042472,7358,86.68051052,0.860580676,io,medium,waiting
3b85d1e1-4734-4d95-a96c-3c81584efae2,07-02-2023 19:00,2.021839744,89.33690236,208.4192736,199.2585076,1224,61.85013513,0.697445192,compute,high,completed
,28-06-2023 06:55,83.26198455,41.71619077,493.1490075,103.741907,3187,5.677628555,,compute,high,
00a10e10-fe7d-4d97-a6b2-06c051763611,12-04-2023 05:05,77.81567509,,887.4445039,,2010,32.82460714,0.578290513,io,low,
fd28310b-be6f-4320-a664-de02274993d9,18-01-2023 11:22,87.00121482,46.62017593,437.1881151,77.05470159,9427,,0.207164345,,low,waiting
f65e1c9b-2b40-4f50-a80c-4ce40d60ce70,18-06-2023 16:06,97.86183422,70.71200063,,264.7233293,3345,89.00994248,0.482367481,io,low,waiting
5da32ae8-bd9c-4e95-840a-35498ef2d567,07-02-2023 17:21,79.91585642,76.10323679,,361.6567231,9825,52.18702939,0.520830534,,medium,running
8ca4165d-f6c3-44e7-9045-b28e6534a114,01-02-2023 07:27,46.14793623,,88.57367902,348.3596744,1912,58.10186507,0.42384871,io,low,running
74d08dd7-5b8c-4111-a6e3-d1566434c4af,13-05-2023 18:43,78.05291763,75.0869324,387.449284,288.4658048,9174,50.00729168,,compute,low,waiting
ee09578f-c27d-4e85-b3ee-323a0d7a0eff,19-07-2023 04:48,11.82744259,17.4946851,433.6812055,214.9120962,1147,12.59030733,0.107757509,compute,medium,running
d95eef15-c3a1-4120-b660-2c3bbbc5765e,25-02-2023 05:22,63.99210213,87.71007666,940.2623028,,6643,,0.166331988,compute,low,running
